user_id,timestamp,song,artist,session_id,duration
1749,2024-02-02 09:50:00,Stairway to Heaven,Led Zeppelin,8294,7.7
1358,2024-05-10 13:57:00,Stairway to Heaven,Led Zeppelin,5720,8.48
1200,2024-08-23 14:15:00,Like a Prayer,Madonna,6424,7.56
1523,2024-07-02 18:31:00,With or Without You,U2,9975,4.72
1894,2024-04-13 17:17:00,Comfortably Numb,Pink Floyd,8033,6.76
1906,2024-06-27 05:00:00,Hotel California,Eagles,6931,2.76
1422,2024-06-14 16:29:00,Back in Black,AC/DC,9504,6.16
1455,2024-01-18 23:33:00,With or Without You,U2,7138,6.21
1395,2024-11-10 12:17:00,Back in Black,AC/DC,6769,4.76
1556,2024-12-31 16:36:00,Hey Jude,The Beatles,6650,5.04
1959,2024-12-03 09:21:00,Smells Like Teen Spirit,Nirvana,6232,5.52
1634,2024-06-20 12:42:00,Comfortably Numb,Pink Floyd,6985,6.79
1487,2024-02-04 17:15:00,Bohemian Rhapsody,Queen,6682,6.96
1251,2024-04-17 21:45:00,Bohemian Rhapsody,Queen,5986,7.27
1285,2024-07-10 20:02:00,Hotel California,Eagles,7201,4.84
1593,2024-07-25 06:16:00,Comfortably Numb,Pink Floyd,5506,6.43
1306,2024-07-09 17:00:00,Stairway to Heaven,Led Zeppelin,6783,8.16
1463,2024-02-24 04:36:00,With or Without You,U2,8203,5.65
1994,2024-05-04 18:04:00,Billie Jean,Michael Jackson,8417,6.54
1594,2024-11-29 13:41:00,Hotel California,Eagles,7515,4.27
1912,2024-04-22 17:38:00,Smells Like Teen Spirit,Nirvana,8520,3.15
1911,2024-04-10 21:54:00,Like a Prayer,Madonna,8111,3.41
1812,2024-09-14 18:51:00,Like a Prayer,Madonna,5940,6.71
1777,2024-12-05 21:36:00,Stairway to Heaven,Led Zeppelin,6101,6.75
1151,2024-04-03 13:51:00,Comfortably Numb,Pink Floyd,9082,8.07
1852,2024-05-25 12:50:00,Smells Like Teen Spirit,Nirvana,8905,4.33
